Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
4,124,HOU,Trevardo Williams,DE,22,2014,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,5,,1,Connecticut,College Stats
4,125,GNB,Johnathan Franklin,RB,23,2013,0,0,0,1,1,11,0,0,0,0,0,19,107,1,4,30,0,3,,,UCLA,College Stats
4,126,TAM,William Gholston,DE,22,2020,0,0,5,25,25,115,0,0,0,0,0,0,0,0,0,0,0,199,,14,Michigan St.,College Stats
4,127,ATL,Malliciah Goodman,DE,23,2016,0,0,1,5,5,37,0,0,0,0,0,0,0,0,0,0,0,12,,,Clemson,College Stats
4,128,SFO,Quinton Patton,WR,23,2016,0,0,1,7,7,40,0,0,0,0,0,3,51,0,73,880,1,2,,,Louisiana Tech,College Stats
4,129,BAL,John Simon,DE,22,2020,0,0,4,26,1,93,0,0,0,0,0,0,0,0,0,0,0,171,2,21,Ohio St.,College Stats
4,130,BAL,Kyle Juszczyk,RB,22,2020,0,4,7,13,5,118,0,0,0,0,0,37,147,3,193,1795,9,12,,,Harvard,
4,131,SFO,Marcus Lattimore,RB,21,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina,College Stats
4,132,DET,Devin Taylor,DE,23,2017,0,0,1,12,12,63,0,0,0,0,0,0,0,0,0,0,0,69,,15,South Carolina,College Stats
4,133,ATL,Levine Toilolo,TE,22,2020,0,0,5,8,6,120,0,0,0,0,0,0,0,0,100,1018,8,7,,,Stanford,College Stats
5,134,KAN,Sanders Commings,DB,23,2014,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Georgia,College Stats
5,135,JAX,Denard Robinson,WR,22,2016,0,0,1,8,8,55,0,2,0,0,0,263,1058,5,47,310,0,8,,,Michigan,College Stats
5,136,PHI,Earl Wolff,DB,23,2014,0,0,0,4,4,18,0,0,0,0,0,0,0,0,0,0,0,43,1,,North Carolina St.,College Stats
5,137,SEA,Jesse Williams,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats
5,138,SEA,Tharold Simon,DB,22,2016,0,0,0,3,2,20,0,0,0,0,0,0,0,0,0,0,0,15,1,,LSU,College Stats
5,139,IND,Montori Hughes,DT,23,2016,0,0,0,2,2,25,0,0,0,0,0,0,0,0,0,0,0,15,,,UT Martin,
5,140,ARI,Stepfan Taylor,RB,22,2016,0,0,0,3,3,61,0,0,0,0,0,120,393,1,20,154,3,12,,,Stanford,College Stats
5,141,NYJ,Oday Aboushi,T,22,2020,0,0,2,11,3,61,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia,College Stats
5,142,TEN,Lavar Edwards,DE,23,2017,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,14,,2,LSU,College Stats
5,143,BUF,Jonathan Meeks,DB,23,2016,0,0,0,2,2,38,0,0,0,0,0,0,0,0,0,0,0,22,,,Clemson,College Stats
5,144,NOR,Kenny Stills,WR,21,2020,0,0,5,33,13,117,1,1,3,1,0,4,8,0,310,4843,37,,,,Oklahoma,College Stats
5,145,SDG,Steve Williams,DB,22,2016,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,45,2,1,California,College Stats
5,146,DEN,Quanterus Smith,DE,23,2014,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,7,,,Western Kentucky,
5,147,TAM,Steven Means,DE,22,2020,0,0,0,5,1,46,0,0,0,0,0,0,0,0,0,0,0,34,,6,Buffalo,College Stats
5,148,CAR,A.J. Klein,LB,22,2020,0,0,4,28,10,115,0,0,0,0,0,0,0,0,0,0,0,271,3,15.5,Iowa St.,College Stats
5,149,STL,Brandon McGee,DB,22,2015,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,14,,,Miami (FL),College Stats
5,150,PIT,Terry Hawthorne,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Illinois,College Stats
5,151,DAL,Joseph Randle,RB,21,2015,0,0,0,7,7,35,0,0,0,0,0,181,822,9,22,170,0,9,,,Oklahoma St.,College Stats
5,152,NYG,Cooper Taylor,DB,23,2015,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,9,,,Richmond,
5,153,ATL,Stansly Maponga,DE,22,2015,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,4,,1,TCU,College Stats
5,154,WAS,Chris Thompson,RB,22,2020,0,0,0,19,19,74,0,0,0,0,0,257,1214,5,232,1918,11,,,,Florida St.,College Stats
5,155,MIN,Jeff Locke,P,23,2017,0,0,0,6,6,69,0,0,0,0,0,1,-6,0,0,0,0,2,,,UCLA,College Stats
5,156,CIN,Tanner Hawkinson,T,23,2015,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas,
5,157,SFO,Quinton Dial,DE,23,2017,0,0,2,16,13,59,0,0,0,0,0,0,0,0,0,0,0,90,,4.5,Alabama,College Stats
5,158,SEA,Luke Willson,TE,23,2020,0,0,2,12,11,102,0,0,0,0,0,0,0,0,111,1307,11,6,,,Rice,College Stats
5,159,GNB,Micah Hyde,DB,22,2020,0,1,6,35,13,121,0,0,0,0,0,0,0,0,0,0,0,383,17,4,Iowa,College Stats
5,160,STL,Zac Stacy,RB,22,2015,0,0,1,11,10,35,0,0,0,0,0,357,1355,9,53,358,1,2,,,Vanderbilt,College Stats
5,161,DEN,Tavarres King,WR,23,2017,0,0,0,2,,17,0,0,0,0,0,2,3,0,22,303,3,,,,Georgia,College Stats
5,162,WAS,Brandon Jenkins,DE,23,2013,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,Florida St.,College Stats
5,163,CHI,Jordan Mills,T,22,2019,0,0,5,40,15,90,0,0,0,0,0,0,0,0,0,0,0,,,,Louisiana Tech,College Stats
5,164,MIA,Mike Gillislee,RB,22,2018,0,0,0,10,0,36,0,0,0,0,0,274,1291,16,17,103,1,9,,,Florida,College Stats
5,165,DET,Sam Martin,P,23,2020,0,0,0,15,15,118,2,2,27,0,0,3,3,0,0,0,0,4,,,Appalachian St.,
5,166,MIA,Caleb Sturgis,K,24,2018,0,0,0,8,4,68,0,0,0,0,0,0,0,0,0,0,0,6,,,Florida,College Stats
5,167,GNB,Josh Boyd,DE,24,2015,0,0,0,4,4,26,0,0,0,0,0,0,0,0,0,0,0,17,,,Mississippi St.,College Stats
5,168,BAL,Ricky Wagner,T,23,2020,0,0,6,41,22,114,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,
6,169,JAX,Josh Evans,DB,22,2016,0,0,3,13,13,49,0,0,0,0,0,0,0,0,0,0,0,146,,,Florida,College Stats
6,170,KAN,Eric Kush,C,23,2020,0,0,0,10,1,50,0,0,0,0,0,0,0,0,0,0,0,,,,California (PA),
6,171,DET,Corey Fuller,WR,23,2015,0,0,0,3,3,28,0,0,0,0,0,0,0,0,18,288,1,5,,,Virginia Tech,College Stats
6,172,OAK,Nick Kasa,TE,22,2014,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,9,1,,,,Colorado,College Stats
6,173,DEN,Vinston Painter,G,23,2017,0,0,0,0,,14,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,
6,174,ARI,Ryan Swope,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats
6,175,CLE,Jamoris Slaughter,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats
6,176,HOU,David Quessenberry,OL,23,2020,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,1,1,,,,San Jose St.,
6,177,BUF,Dustin Hopkins,K,22,2020,0,0,0,14,,83,0,0,0,0,0,0,0,0,0,0,0,5,,,Florida St.,College Stats
6,178,NYJ,William Campbell,OL,22,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
6,179,SDG,Tourek Williams,DE,22,2016,0,0,0,5,5,47,0,0,0,0,0,0,0,0,0,0,0,40,,2,Florida International,College Stats
6,180,SFO,Nick Moody,LB,23,2016,0,0,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,20,,,Florida St.,College Stats
6,181,OAK,Latavius Murray,RB,23,2020,0,1,3,34,18,105,0,0,0,0,0,1171,4903,43,179,1250,1,3,,,Central Florida,College Stats
6,182,CAR,Kenjon Barner,RB,24,2020,0,0,0,4,0,70,1,1,3,0,0,100,416,3,28,152,0,1,,,Oregon,College Stats
6,183,NOR,Rufus Johnson,DE,23,2015,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,Tarleton St.,
6,184,OAK,Mychal Rivera,TE,22,2016,0,0,1,9,9,61,0,0,0,0,0,0,0,0,146,1413,10,2,,,Tennessee,College Stats
6,185,DAL,DeVonte Holloman,LB,22,2014,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,14,,2,South Carolina,College Stats
6,186,PIT,Justin Brown,WR,22,2014,0,0,0,1,1,8,0,0,0,0,0,0,0,0,12,94,0,,,,Oklahoma,College Stats
6,187,ARI,Andre Ellington,RB,24,2017,0,0,1,18,17,65,0,0,0,0,0,418,1752,10,151,1368,3,1,,,Clemson,College Stats
6,188,CHI,Cornelius Washington,LB,23,2017,0,0,0,6,3,46,0,0,0,0,0,0,0,0,0,0,0,36,,5.5,Georgia,College Stats
6,189,TAM,Mike James,RB,22,2016,0,0,0,2,2,23,1,1,2,1,0,83,351,0,15,60,0,,,,Miami (FL),College Stats
6,190,CIN,Rex Burkhead,RB,23,2020,0,0,0,15,4,83,0,0,0,0,0,340,1401,14,130,1144,8,23,,,Nebraska,College Stats
6,191,WAS,Bacarri Rambo,DB,23,2016,0,0,1,8,1,41,0,0,0,0,0,0,0,0,0,0,0,105,4,2,Georgia,College Stats
6,192,IND,John Boyett,DB,23,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,College Stats
6,193,GNB,Nate Palmer,LB,23,2017,0,0,1,9,7,48,0,0,0,0,0,0,0,0,0,0,0,68,,1,Illinois St.,
6,194,SEA,Spencer Ware,RB,21,2019,0,0,1,17,0,43,0,0,0,0,0,357,1631,11,64,698,2,2,,,LSU,College Stats
6,195,HOU,Alan Bonner,WR,22,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Jacksonville St.,
6,196,MIN,Jeff Baca,G,23,2014,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,
6,197,CIN,Cobi Hamilton,WR,22,2017,0,0,1,2,0,14,0,0,0,0,0,0,0,0,18,242,2,1,,,Arkansas,College Stats
6,198,HOU,Chris Jones,DT,23,2016,0,0,0,14,,41,0,0,0,0,0,0,0,0,0,0,0,56,,9,Bowling Green,College Stats
6,199,DET,Theo Riddick,RB,22,2020,0,0,1,24,24,86,0,0,0,0,0,293,1042,5,286,2241,14,15,,,Notre Dame,College Stats
6,200,BAL,Kapron Lewis-Moore,DE,23,2015,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,,,Notre Dame,College Stats
6,201,HOU,Ryan Griffin,TE,23,2020,0,0,4,12,10,102,0,0,0,0,0,0,0,0,179,1897,12,8,,,Connecticut,College Stats
6,202,TEN,Khalid Wooten,DB,23,2014,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Nevada,College Stats
6,203,BAL,Ryan Jensen,T,22,2020,0,0,4,26,11,79,0,0,0,0,0,0,0,0,0,0,0,,,,,
6,204,KAN,Braden Wilson,FB,23,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,College Stats
6,205,OAK,Stacy McGee,DT,23,2020,0,0,2,16,10,80,0,0,0,0,0,0,0,0,0,0,0,75,,4.5,Oklahoma,College Stats
6,206,PIT,Vince Williams,LB,23,2020,0,0,5,30,30,119,0,0,0,0,0,0,0,0,0,0,0,327,2,20.5,Florida St.,College Stats
7,207,KAN,Mike Catapano,DE,23,2016,0,0,0,3,1,29,0,0,0,0,0,0,0,0,0,0,0,8,,2,Princeton,
7,208,JAX,Jeremy Harris,DB,22,2015,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,,,New Mexico St.,College Stats
7,209,OAK,Brice Butler,WR,23,2018,0,0,0,9,3,69,0,0,0,0,0,0,0,0,79,1237,9,,,,San Diego St.,College Stats
7,210,JAX,Demetrius McCray,DB,22,2017,0,0,1,8,8,49,0,0,0,0,0,0,0,0,0,0,0,73,,,Appalachian St.,
7,211,DET,Michael Williams,TE,22,2015,0,0,1,0,0,15,0,0,0,0,0,0,0,0,3,26,0,1,,,Alabama,College Stats
7,212,PHI,Joe Kruger,DE,21,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats
7,213,MIN,Michael Mauti,LB,23,2017,0,0,0,6,2,58,0,0,0,0,0,0,0,0,0,0,0,58,,1,Penn St.,College Stats
7,214,MIN,Travis Bond,G,22,2014,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina,College Stats
7,215,NYJ,Tommy Bohanon,RB,22,2018,0,0,1,1,1,68,0,0,0,0,0,26,72,2,29,239,1,3,,,Wake Forest,College Stats
7,216,GNB,Charles Johnson,WR,24,2016,0,0,0,7,,39,0,0,0,0,0,1,-11,0,60,834,2,2,,,Grand Valley St.,
7,217,CLE,Armonty Bryant,DE,23,2016,0,0,0,5,4,36,0,0,0,0,0,0,0,0,0,0,0,45,,11.5,East Central (OK),
7,218,PHI,Jordan Poyer,DB,22,2020,0,0,4,25,0,107,0,0,0,0,0,1,10,0,0,0,0,375,15,8,Oregon St.,College Stats
7,219,ARI,D.C. Jefferson,TE,24,2013,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Rutgers,College Stats
7,220,SEA,Ryan Seymour,G,23,2016,0,0,0,1,,13,0,0,0,0,0,0,0,0,0,0,0,,,,Vanderbilt,
7,221,SDG,Brad Sorensen,QB,25,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Southern Utah,
7,222,BUF,Chris Gragg,TE,23,2015,0,0,0,1,1,32,0,0,0,0,0,0,0,0,24,251,2,,,,Arkansas,College Stats
7,223,PIT,Nick Williams,DT,23,2020,0,0,0,7,,54,0,0,0,0,0,0,0,0,0,0,0,46,,7,Samford,
7,224,GNB,Kevin Dorsey,WR,23,2014,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,0,1,,,Maryland,College Stats
7,225,NYG,Eric Herman,OL,23,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio,College Stats
7,226,NWE,Michael Buchanan,DE,22,2014,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,7,,2,Illinois,College Stats
7,227,CLE,Garrett Gilkey,T,23,2014,0,0,0,2,1,22,0,0,0,0,0,0,0,0,0,0,0,,,,Chadron St.,
7,228,WAS,Jawan Jamison,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Rutgers,College Stats
7,229,MIN,Everett Dawkins,DT,23,2013,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,College Stats
7,230,IND,Kerwynn Williams,RB,22,2017,0,0,0,6,0,39,0,0,0,0,0,218,971,4,15,126,0,6,,,Utah St.,College Stats
7,231,SEA,Ty Powell,DE,25,2014,0,0,0,1,,19,0,0,0,0,0,0,0,0,0,0,0,17,,1,Harding,
7,232,GNB,Sam Barrington,LB,22,2016,0,0,1,4,4,29,0,0,0,0,0,0,0,0,0,0,0,44,,1,South Florida,College Stats
7,233,OAK,David Bass,DE,22,2017,0,0,0,9,,64,0,0,0,0,0,0,0,0,0,0,0,70,2,9,Missouri Western St.,
7,234,DEN,Zac Dysert,QB,23,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (OH),College Stats
7,235,NWE,Steve Beauharnais,LB,23,2014,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,,,Rutgers,College Stats
7,236,CHI,Marquess Wilson,WR,20,2016,0,0,0,6,6,31,0,0,0,0,0,0,0,0,56,777,3,,,,Washington St.,College Stats
7,237,SFO,B.J. Daniels,QB,24,2015,0,0,0,0,,8,1,2,7,0,0,6,6,0,2,18,0,1,,,South Florida,College Stats
7,238,BAL,Aaron Mellette,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Elon,
7,239,PHI,David King,DE,23,2017,0,0,0,1,,17,0,0,0,0,0,0,0,0,0,0,0,4,,2.5,Oklahoma,College Stats
7,240,CIN,Reid Fragel,OL,22,2015,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,
7,241,SEA,Jared Smith,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,New Hampshire,
7,242,SEA,Michael Bowie,T,21,2014,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,,,,,
7,243,ATL,Kemal Ishmael,DB,22,2019,0,0,1,13,13,95,0,0,0,0,0,0,0,0,0,0,0,183,5,1,Central Florida,College Stats
7,244,ATL,Zeke Motta,DB,23,2014,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,8,,,Notre Dame,College Stats
7,245,DET,Brandon Hepburn,LB,23,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Florida A&M,
7,246,SFO,Carter Bykowski,OL,23,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa St.,College Stats
7,247,BAL,Marc Anthony,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats
7,248,TEN,Daimion Stafford,DB,22,2016,0,0,0,7,7,62,0,0,0,0,0,0,0,0,0,0,0,94,2,3,Nebraska,College Stats
7,249,ATL,Sean Renfree,QB,23,2015,0,0,0,0,0,2,3,7,11,0,1,1,-4,0,0,0,0,,,,Duke,College Stats
7,250,MIA,Don Jones,DB,23,2016,0,0,0,2,1,56,0,0,0,0,0,0,0,0,0,0,0,35,,,Arkansas St.,College Stats
7,251,CIN,T.J. Johnson,C,23,2017,0,0,0,4,4,45,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina,
7,252,SFO,Marcus Cooper,DB,23,2018,0,0,1,13,,75,0,0,0,0,0,0,0,0,0,0,0,145,7,,Rutgers,College Stats
7,253,NYG,Michael Cox,RB,24,2014,0,0,0,0,0,18,0,0,0,0,0,26,76,0,5,21,0,3,,,Massachusetts,College Stats
7,254,IND,Justice Cunningham,TE,22,2015,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,4,0,,,,South Carolina,College Stats
